Product,Specific Gravity,Purpose
MIL-CARB 50,2.710,Weight material/Bridging
MIL-CARB 600,2.710,Weight material/Bridging
MIL-CEDAR FIBER,0.600,LCM
MILFLAKE,1.400,LCM
MIL-FREE,0.870,Other 
MIL-GARD,3.600,Corrosion Inhibitor
MIL-GARD L,1.370,Corrosion Inhibitor
MIL-GARD R,0.460,Corrosion Inhibitor
MILGEL,2.600,Rheology / Filtration
MILGEL NT,2.600,Rheology / Filtration
MILGEL PLUS,2.600,Rheology / Filtration
MIL-KEM,1.350,Rheology / Filtration
MIL-LIME,2.240,Rheology / Filtration
MIL-LUBE,0.935,Lubricant
MILMICA,2.600,LCM
MIL-PAC,1.600,Rheology / Filtration
MIL-PAC LV,1.600,Rheology / Filtration
MILPLUG,1.200,LCM
MIL-SEAL,0.360,LCM
MIL-SORB,1.400,Other 
MILSTARCH,1.450,Rheology / Filtration
MIL-TEMP,0.940,Rheology / Filtration
MIL-THIN,1.250,Deflocculant
MS-90,0.902,Base Oil
MUD-PAC,1.200,Corrosion Inhibitor
Mul HT Plus,0.940,Emulsifier 
Mul XT,0.960,Emulsifier 
MUL-FREE RS,1.060,Other 
Na2S2O3,1.667,Rheology / Filtration
NaBr,3.210,Salt
NaCl,2.165,Salt
NaCl Brine,1.200,Other 
NaHCO2,1.920,Salt
NANOSHIELD,0.600,Other 
NaOH,2.130,pH Control
NB151618,0.790,Base Oil
NEW DRILL HP,1.800,Shale Control
NEW DRILL LV,0.650,Shale Control
NEW DRILL PLUS,0.850,Shale Control
NEW-DRILL,1.000,Shale Control
NEW-THIN,1.200,Deflocculant
NEW-TROL,1.400,HTHP Filtration 
NEW-VIS,0.600,Rheology / Filtration
NEW-VIS II,1.300,Rheology / Filtration
NewZan D,1.500,Rheology / Filtration
NEXT-MUL,0.935,Emulsifier 
NF 2,1.115,Hydrate Inhibitor
NF 3,1.090,Hydrate Inhibitor
NOXYGEN,1.292,Corrosion Inhibitor
N-Paraffin,0.777,Base Oils 
NUT PLUG,1.200,LCM
NX-3500,0.857,Base Oil
OMC 586,0.860,Base Oils 
OMNI-BASE,0.800,Base Oil
OMNI-BASE 2002,0.840,Base Oil
OMNI-COTE,0.900,Emulsifier
